booking_id,passenger_id,num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete,name,age,gender,nationality,email,country_id
927074,986864,4,Online,One-way,5,10,17:13,2023-07-19,New York - London,JFK,No,Yes,Yes,7.925032840004247,0,Evan Hughes,48,Male,Togo,barajasmichael@example.com,9
527976,291007,3,Online,One-way,56,5,18:15,2023-07-27,New York - London,JFK,Yes,Yes,Yes,9.90169758528207,0,Aimee Michael,33,Male,Afghanistan,jacksonamy@example.net,1
545649,791467,4,Offline,One-way,48,6,18:36,2023-07-24,Paris - Rome,NRT,No,No,No,6.362801053682089,0,Benjamin Thompson,47,Male,Rwanda,masseymisty@example.net,7
18597,500378,5,Offline,Round-trip,36,7,22:46,2023-07-23,New York - London,CDG,Yes,Yes,No,11.632933283686938,0,Matthew Rivera,64,Male,Japan,csandoval@example.net,8
760865,107175,1,Offline,One-way,34,2,14:53,2023-06-28,Paris - Rome,CDG,No,No,Yes,3.710799941488039,1,Timothy Estes,37,Female,Argentina,cynthiaharris@example.com,4
141982,131932,5,Offline,Round-trip,13,2,16:08,2023-06-11,New York - London,NRT,No,Yes,Yes,2.0172671403760973,0,Shawn Holland,22,Female,Micronesia,daynancy@example.com,1
964833,551581,3,Offline,Round-trip,10,4,11:24,2023-07-10,New York - London,CDG,Yes,No,Yes,10.048755665606294,0,Holly Campos,72,Female,Svalbard & Jan Mayen Islands,monica90@example.org,2
762846,655117,4,Offline,One-way,17,5,23:14,2023-06-14,Tokyo - Sydney,JFK,Yes,Yes,Yes,5.245810534554136,0,Ryan Thompson,48,Female,Samoa,racheldavis@example.org,6
598368,446508,5,Online,One-way,13,8,17:40,2023-08-04,New York - London,NRT,Yes,Yes,Yes,8.870695044543961,0,Vanessa Smith,70,Male,Kiribati,frances98@example.org,5
407832,462307,4,Online,Round-trip,9,1,20:59,2023-07-08,Paris - Rome,NRT,Yes,No,Yes,10.835651805485034,1,Amy Chandler,65,Female,Bahamas,evan90@example.net,1
366020,131195,4,Offline,Round-trip,56,3,11:37,2023-07-08,Tokyo - Sydney,JFK,No,Yes,No,11.600656062348826,0,Charles Walls,30,Female,Albania,ycross@example.org,6
459073,260778,1,Online,One-way,49,2,01:49,2023-07-06,Tokyo - Sydney,NRT,No,No,Yes,5.1942391084728845,1,Kristen Ray,37,Male,Andorra,joelclark@example.org,8
664726,416742,3,Online,One-way,53,9,12:50,2023-07-20,New York - London,CDG,No,No,Yes,5.0458769781698525,0,Timothy Ramirez,39,Female,Tajikistan,jeremypeters@example.net,9
338280,400854,1,Online,Round-trip,44,4,17:41,2023-07-10,New York - London,NRT,Yes,Yes,No,10.601995584054329,0,Albert Holland DDS,37,Female,Slovenia,manderson@example.org,3
308907,848736,3,Online,One-way,13,6,21:59,2023-06-30,Tokyo - Sydney,NRT,No,No,Yes,5.025541278175493,1,Alexa Sanchez,26,Male,Nicaragua,grace23@example.org,6
427030,713551,1,Online,One-way,57,3,15:08,2023-07-26,New York - London,NRT,Yes,Yes,No,7.3559904640074265,1,Mark Carney,71,Female,Guyana,sheilahernandez@example.com,7
518345,575008,1,Offline,Round-trip,53,7,11:14,2023-07-02,Tokyo - Sydney,CDG,No,No,No,6.7437777269989585,0,Edward Benson,38,Female,Estonia,jgrant@example.org,9
324780,836326,1,Online,One-way,23,3,20:29,2023-06-20,New York - London,JFK,Yes,Yes,Yes,7.797477634248615,0,James Bates,65,Female,Lithuania,hmontoya@example.net,4
786872,17115,4,Online,One-way,52,7,10:54,2023-07-29,New York - London,CDG,No,No,No,4.171821740966808,1,Dr. Juan Leonard,52,Female,Morocco,jeanette92@example.net,8
308890,563559,3,Online,Round-trip,9,9,15:27,2023-06-26,New York - London,CDG,No,Yes,No,8.973530617982172,0,Toni Montes,26,Male,Antigua and Barbuda,brandonjennings@example.org,1
335080,224635,3,Online,Round-trip,41,5,09:35,2023-07-23,Paris - Rome,JFK,No,No,Yes,10.514167932029101,0,Samuel Vance MD,72,Female,Micronesia,rothsarah@example.net,9
247744,907478,1,Online,Round-trip,35,2,21:41,2023-07-06,New York - London,NRT,Yes,No,Yes,3.379290570754756,1,Evan Coleman,55,Male,Martinique,tracey47@example.net,10
263432,136380,2,Offline,Round-trip,37,5,08:12,2023-06-19,Tokyo - Sydney,NRT,No,No,Yes,6.222310590481867,0,Michael Buckley,39,Female,San Marino,knoxthomas@example.net,8
284686,208893,1,Online,One-way,2,7,00:35,2023-07-10,Tokyo - Sydney,CDG,Yes,Yes,Yes,3.7869977357897624,1,Maria George,57,Female,Heard Island and McDonald Islands,oshelton@example.com,6
922982,485680,4,Online,Round-trip,58,4,04:01,2023-07-16,Tokyo - Sydney,CDG,Yes,Yes,Yes,11.488063370272549,1,Caitlin Eaton,41,Female,Austria,lindsey82@example.org,7
486169,838590,3,Online,One-way,1,4,10:44,2023-07-02,Paris - Rome,JFK,Yes,No,No,10.238453425896592,1,Amanda Russell,75,Male,Tunisia,gdoyle@example.org,2
